la,ONS Name,LSOA Name,LSOA Code,Income domain_Child Index 2011,fsPhase1,fsPhase2,Child Index 2011,Education domain_Child Index 2011,Health domain_Child Index 2011,Community Safety domain_Child Index 2011,Enviroment domain_Child Index 2011,Access to Services domain_Child Index 2011,Housing domain_Child Index 2011,...2,...3,employment-related benefits (% of working-age population) (1),deprivation,income-related benefits (% of population) (3),Key Stage 2 mean points score (4),Key Stage 3 mean points score (4),Key Stage 4 mean points score (5),low birth weight (% of live singleton babies) (6),Primary School absence rate (% of half day sessions missed) (7),Secondary School absence rate (% of half day sessions missed) (8),k
Blaenau Gwent,008A,Abertillery 1,W01001435,34.2,FALSE,FALSE,25.5,26,17.7,39.8,36.8,4.1,12.5,Wales,Blaenau Gwent 008A,20,35.4,22.1,79,97,379,4.6,8.6,7.9,-12.250000000000004
Blaenau Gwent,008B,Abertillery 2,W01001436,35.8,FALSE,FALSE,32.4,20.5,67.3,51,13.3,0.3,12.6,Wales,Blaenau Gwent 008B,25,36.4,25.3,82,101,386,10.7,8.4,8,-11.250000000000004
Blaenau Gwent,008C,Abertillery 3,W01001437,19.6,FALSE,FALSE,14.1,22.9,3.4,23.8,5.2,1.8,11,Wales,Blaenau Gwent 008C,19,24.7,17,82,96,367,4,7.8,7.3,-22.950000000000003
Blaenau Gwent,004A,Badminton 1,W01001438,18.5,FALSE,FALSE,11.7,10.2,7.2,9.2,20.2,0.4,4.7,Wales,Blaenau Gwent 004A,18,23.7,19.8,88,104,384,2.9,6.6,7.7,-23.950000000000003
Blaenau Gwent,004B,Badminton 2,W01001439,7.5,FALSE,FALSE,8.7,17.5,2.2,21.6,16.1,1.7,3,Wales,Blaenau Gwent 004B,14,13.4,12.1,84,96,391,6,5.6,8.6,-34.25000000000001
Blaenau Gwent,001A,Beaufort 1,W01001440,31.1,FALSE,FALSE,21.6,24.8,19.1,22.1,6.4,10.1,2.9,Wales,Blaenau Gwent 001A,22,33.4,22.2,78,98,387,4.3,6.5,9.6,-14.250000000000004
Blaenau Gwent,001B,Beaufort 2,W01001441,50.9,TRUE,FALSE,34.1,37.8,14.2,47.8,23.6,18.8,9,Wales,Blaenau Gwent 001B,31,46.8,34.6,76,99,334,4.3,9.1,10.4,-0.8500000000000056
Blaenau Gwent,001C,Beaufort 3,W01001442,9.6,FALSE,FALSE,12.8,6.8,22.3,22.2,31.8,5.7,6.5,Wales,Blaenau Gwent 001C,13,15.6,12.7,86,104,414,6.9,5.7,5.9,-32.050000000000004
Blaenau Gwent,005A,Blaina 1,W01001443,30.6,FALSE,FALSE,31.1,41.8,29.3,55.9,33.2,17.7,9.2,Wales,Blaenau Gwent 005A,27,33.1,25.5,73,94,331,5.4,7.8,8.9,-14.55
Blaenau Gwent,005B,Blaina 2,W01001444,35.1,FALSE,FALSE,26.4,37,10.7,18.5,15.7,19.6,21.9,Wales,Blaenau Gwent 005B,21,36,24.7,78,96,322,6.7,7.5,10,-11.650000000000002
Blaenau Gwent,005C,Blaina 3,W01001445,37.5,FALSE,FALSE,33.3,36.9,39.5,35.2,20.7,21.4,16.6,Wales,Blaenau Gwent 005C,20,37.6,23.2,82,96,289,8.5,7.4,9.8,-10.05
Blaenau Gwent,002A,Brynmawr 1,W01001446,11.4,FALSE,FALSE,11.3,13.4,0.8,19.8,42.6,8.3,1.4,Wales,Blaenau Gwent 002A,13,17,15.6,82,105,466,2,6.7,10.3,-30.650000000000002
Blaenau Gwent,002B,Brynmawr 2,W01001447,48.9,FALSE,FALSE,38.8,65.2,21.8,54.2,14.7,13.6,12.2,Wales,Blaenau Gwent 002B,27,45.4,33.4,76,92,324,7.2,9.2,13.4,-2.2500000000000044
Blaenau Gwent,002C,Brynmawr 3,W01001448,7.6,FALSE,FALSE,13.7,18.8,16.4,41.7,27,1.5,10.4,Wales,Blaenau Gwent 002C,18,13.5,15.5,87,103,318,7,7.1,9.6,-34.150000000000006
Blaenau Gwent,002D,Brynmawr 4,W01001449,12.6,FALSE,FALSE,17.4,30.6,15.8,37.5,26.9,6.2,5.1,Wales,Blaenau Gwent 002D,23,18.4,21.2,82,95,397,7.6,7.2,10.8,-29.250000000000004
Blaenau Gwent,007A,Cwm 1,W01001450,17.8,FALSE,FALSE,21.9,36.4,15.8,15.5,38.8,22.1,11.4,Wales,Blaenau Gwent 007A,22,23.2,20.1,84,91,342,5.1,7.9,9.2,-24.450000000000003
Blaenau Gwent,007B,Cwm 2,W01001451,36.8,FALSE,FALSE,39.8,52.7,42.1,55.5,49.2,28.9,11.7,Wales,Blaenau Gwent 007B,23,37.1,26.3,69,92,352,8.3,9,9,-10.55
Blaenau Gwent,007C,Cwm 3,W01001452,16.9,FALSE,FALSE,15.8,7,20.5,8.4,25.5,24.2,2.6,Wales,Blaenau Gwent 007C,14,22.4,14.7,86,107,418,7.2,5.8,7,-25.250000000000004
Blaenau Gwent,008D,Cwmtillery 1,W01001453,55,FALSE,TRUE,45.4,49.9,62.3,58.8,11.3,13.1,15.1,Wales,Blaenau Gwent 008D,27,48.9,34.1,79,91,240,9.2,6.9,8.7,1.2499999999999958
Blaenau Gwent,008E,Cwmtillery 2,W01001454,26.8,FALSE,FALSE,29.5,34.9,42.7,25.1,14.5,26.1,18.5,Wales,Blaenau Gwent 008E,19,30.2,22.5,82,96,282,8.8,8.9,7.9,-17.450000000000003
Blaenau Gwent,008F,Cwmtillery 3,W01001455,29.9,FALSE,FALSE,29.7,22.7,50.1,33,9.8,4.8,57.3,Wales,Blaenau Gwent 008F,23,32.6,25.8,82,97,351,9.9,7,7.8,-15.05
Blaenau Gwent,004C,Ebbw Vale North 1,W01001456,42.3,FALSE,FALSE,26.6,27.8,17.9,32.2,8.5,2.2,17.4,Wales,Blaenau Gwent 004C,25,41.4,28.3,76,99,329,7.3,6.9,9.1,-6.250000000000004
Blaenau Gwent,004D,Ebbw Vale North 2,W01001457,95.8,FALSE,TRUE,62.3,86.4,45.1,57.6,4.7,12.2,11.7,Wales,Blaenau Gwent 004D,33,71.6,44.9,74,84,243,8.5,8.8,11.4,23.949999999999992
Blaenau Gwent,004E,Ebbw Vale North 3,W01001458,13.5,FALSE,FALSE,14.9,21.4,24.9,23.2,9.8,1,1.6,Wales,Blaenau Gwent 004E,15,19.1,14.4,85,96,372,5.5,7.2,8,-28.55
