Created from https://www.rctcbc.gov.uk/EN/Council/CouncillorsCommitteesandMeetings/Meetings/CorporateParentingBoard/2015/10/26/Reports/AgendaItem4FlyingStartupdate.pdf,Machine read in by excel,
lsoa2001Nm,percentIBH,fsStatus
Tylorstown 1,72.4%,In FS by 31/3/16
Penrhiwceiber 1,67.4%,In FS by 31/3/16
Pen-y-waun 2,61.0%,In FS by 31/3/16
Cymmer (Rhondda Cynon Taf) 4,60.3%,In FS by 31/3/16
Glyncoch 1,59.9%,In FS by 31/3/16
Mountain Ash West 2,59.6%,In FS by 31/3/16
Maerdy 2,56.4%,In FS by 31/3/16
Maerdy 1,55.4%,In FS by 31/3/16
Abercynon 2,54.5%,In FS by 31/3/16
Rhydfelen CentraVllan 2,51.8%,In FS by 31/3/16
Trealaw 2,51.4%,In FS by 31/3/16
Treherbert 3,51.0%,In FS by 31/3/16
Tylorstown 3,50.9%,In FS by 31/3/16
Hirwaun 3,50.5%,In FS by 31/3/16
Cwm Clydach 1,48.5%,In FS by 31/3/16
Aberaman South 3,48.4%,In FS by 31/3/16
Gilfach Goch 2,48.1%,In FS by 31/3/16
Cymmer (Rhondda Cynon Taf) 3,48.0%,In FS by 31/3/16
Aberaman South 1,47.6%,In FS by 31/3/16
Pen-y-waun 1,47.5%,In FS by 31/3/16
Tonyrefail East 3,46.9%,In FS by 31/3/16
Church Village,44.9%,In FS by 31/3/16
Penrhiwceiber 2,44.1%,In FS by 31/3/16
Pen-y-graig 3,43.7%,In FS by 31/3/16
Trealaw 3,43.6%,In FS by 31/3/16
Llwyn-y-pia 2,41.9%,In FS by 31/3/16
Tylorstown 2,41.7%,In FS by 31/3/16
Treherbert 2,41.7%,In FS by 31/3/16
Tyn-y-nant 3,41.2%,In FS by 31/3/16
Llanharry 2,41.2%,In FS by 31/3/16
Ynyshir 1,41.2%,In FS by 31/3/16
Rhydfelen CentraVllan 3,40.8%,In FS by 31/3/16
Graig (Rhondda Cynon Taf),40.7%,In FS by 31/3/16
Aberaman North 1,40.6%,In FS by 31/3/16
Cwmbach 2,40.5%,In FS by 31/3/16
Treorchy 3,38.8%,In FS by 31/3/16
Aberdare East 4,38.6%,In FS by 31/3/16
Ystrad 3,38.0%,In FS by 31/3/16
Penrhiwceiber 4,37.5%,Not Flying Start Area
Tyn-y-nant 2,37.5%,Not Flying Start Area
Tonyrefail West 3,37.4%,Flying Start Area
