Local Authority,LSOA Name,ONS Name,LSOA Code,Child Index 2011,Income domain_Child Index 2011,Education domain_Child Index 2011,Health domain_Child Index 2011,Community Safety domain_Child Index 2011,Enviroment domain_Child Index 2011,Access to Services domain_Child Index 2011,Housing domain_Child Index 2011
Isle of Anglesey,Aberffraw & Rhosneigr 1,007A,W01000001,26.0,15.0,11.7,47.9,22.6,2.0,47.7,52.2
Isle of Anglesey,Aberffraw & Rhosneigr 2,007B,W01000002,17.8,10.6,11.9,9.8,11.7,4.1,45.6,62.0
Isle of Anglesey,Amlwch Port,001A,W01000003,28.1,23.8,28.8,28.8,19.5,5.1,51.0,34.6
Isle of Anglesey,Amlwch Rural,001B,W01000004,22.8,20.3,8.9,24.6,10.1,1.1,46.4,58.4
Isle of Anglesey,Beaumaris,005A,W01000005,25.4,20.2,21.7,41.5,21.0,13.7,14.1,58.8
Isle of Anglesey,Bodffordd,006A,W01000006,16.6,9.1,13.6,17.2,8.8,2.9,40.3,41.2
Isle of Anglesey,Bodorgan,009A,W01000007,23.4,14.9,8.5,37.1,4.2,12.7,50.4,51.7
Isle of Anglesey,Braint,008A,W01000008,7.3,4.9,4.1,10.1,5.2,3.5,17.5,8.5
Isle of Anglesey,Bryngwran,007C,W01000009,21.1,27.4,12.6,4.0,14.2,5.9,43.3,33.7
Isle of Anglesey,Brynteg,002A,W01000010,12.8,6.0,14.9,12.9,3.6,2.2,40.5,10.7
Isle of Anglesey,Cadnant (Isle of Anglesey),008B,W01000011,10.6,7.8,6.7,16.4,20.2,4.3,7.0,26.2
Isle of Anglesey,Cefni,006B,W01000012,5.5,6.2,4.3,3.3,9.6,8.0,4.7,4.9
Isle of Anglesey,Cwm Cadnant,005B,W01000013,9.8,5.6,3.8,0.9,3.9,4.6,38.0,30.7
Isle of Anglesey,Cyngar,006C,W01000014,11.9,13.0,8.6,6.3,13.5,20.1,12.7,17.9
Isle of Anglesey,Gwyngyll,008C,W01000015,8.8,3.2,1.2,24.4,2.2,2.0,19.5,10.8
Isle of Anglesey,Holyhead Town,003A,W01000016,30.7,30.6,42.6,20.8,83.5,21.4,1.9,39.4
Isle of Anglesey,Kingsland,003B,W01000017,34.1,39.4,34.5,37.6,45.6,23.8,6.2,46.5
