"Community safety and social inclusion > Welsh Index of Multiple Deprivation > Archive > Pre WIMD 2014 indicator data > Indicator data by Lower Layer Super Output Areas"
"Indicator data by Lower Layer Super Output Areas"

Filters:
Year: WIMD 2011

"","","","employment-related benefits (% of working-age population) (1)","income-related benefits - Child Index (% 0-18 year olds) (2)","income-related benefits (% of population) (3)","Key Stage 2 mean points score (4)","Key Stage 3 mean points score (4)","Key Stage 4 mean points score (5)","low birth weight (% of live singleton babies) (6)","Primary School absence rate (% of half day sessions missed) (7)","Secondary School absence rate (% of half day sessions missed) (8)"
"W01000001 ","Wales ","Isle of Anglesey 007A ",16,20.6,17.3,86,103,438,9.8,5.7,10.1
"W01000002 ","Wales ","Isle of Anglesey 007B ",16,16.3,16.2,88,102,392,5.9,5.3,9.5
"W01000003 ","Wales ","Isle of Anglesey 001A ",19,28.2,22.9,78,99,332,7.7,6.9,9.9
"W01000004 ","Wales ","Isle of Anglesey 001B ",18,25.2,17.8,84,109,393,3.3,6.3,7.5
"W01000005 ","Wales ","Isle of Anglesey 005A ",12,25,15.7,84,102,358,11.3,7.3,10.1
"W01000006 ","Wales ","Isle of Anglesey 006A ",13,14.9,12.7,80,102,370,5.8,5.4,7.2
"W01000007 ","Wales ","Isle of Anglesey 009A ",13,20.6,15,84,106,417,9.1,4.6,8.7
"W01000008 ","Wales ","Isle of Anglesey 008A ",7,10.4,8.7,86,108,460,6.9,5.5,6.3
"W01000009 ","Wales ","Isle of Anglesey 007C ",21,30.6,23.8,84,101,387,3.4,5.1,8.1
"W01000010 ","Wales ","Isle of Anglesey 002A ",8,11.7,11.2,86,103,381,5,6.6,9.1
"W01000011 ","Wales ","Isle of Anglesey 008B ",9,13.9,12.6,87,108,436,4.8,5.9,8
"W01000012 ","Wales ","Isle of Anglesey 006B ",10,11.9,10.6,84,107,458,3.1,4,7.8
"W01000013 ","Wales ","Isle of Anglesey 005B ",6,11.3,7.9,86,111,450,1.8,5.1,7.4
"W01000014 ","Wales ","Isle of Anglesey 006C ",13,18.7,14.6,86,105,405,5.1,5,8.5
"W01000015 ","Wales ","Isle of Anglesey 008C ",6,8.4,6.7,90,111,479,8.2,4.2,6.3
"W01000016 ","Wales ","Isle of Anglesey 003A ",26,33.1,28.5,79,95,310,8.2,7.6,10.8
"W01000017 ","Wales ","Isle of Anglesey 003B ",20,39.3,28.3,82,95,352,7.3,7.4,11.3
"W01000018 ","Wales ","Isle of Anglesey 001C ",15,22.7,18.4,82,100,354,3.9,6.6,12
"W01000019 ","Wales ","Isle of Anglesey 005C ",10,13.3,10.3,82,100,418,6.7,6.3,9.4
"W01000020 ","Wales ","Isle of Anglesey 002B ",9,9.8,8.5,84,104,453,5.4,4.6,6.6
"W01000021 ","Wales ","Isle of Anglesey 002C ",14,14.8,14.9,80,98,331,5.5,5.4,8.7
"W01000022 ","Wales ","Isle of Anglesey 004A ",12,18.5,14,84,102,436,2.9,5.7,8.6
"W01000023 ","Wales ","Isle of Anglesey 007D ",12,18.5,16.1,82,103,355,4.8,6.7,7.8
"W01000024 ","Wales ","Isle of Anglesey 007E ",10,21.9,13.5,79,99,366,5.5,6,8.5
"W01000025 ","Wales ","Isle of Anglesey 009B ",9,16.3,11.6,82,99,348,5.6,4.8,8.5
"W01000026 ","Wales ","Isle of Anglesey 005D ",10,17.1,15,87,104,377,3,6,10.2
"W01000027 ","Wales ","Isle of Anglesey 009C ",13,20,15.7,83,103,364,2.9,6.4,9.8
"W01000028 ","Wales ","Isle of Anglesey 001D ",14,18.5,18.3,81,101,392,5.1,5.7,9.4
"W01000029 ","Wales ","Isle of Anglesey 003C ",19,43.3,28.2,79,96,345,6.4,7.6,12.2
"W01000030 ","Wales ","Isle of Anglesey 003D ",23,38.6,29,81,94,300,7.4,7.1,11.2
"W01000031 ","Wales ","Isle of Anglesey 001E ",14,23,17.2,82,102,357,4.2,6,8.7
"W01000032 ","Wales ","Isle of Anglesey 002D ",13,28.3,15.2,81,98,298,5.2,6.6,10.9
"W01000033 ","Wales ","Isle of Anglesey 003E ",28,47.9,35.3,77,96,335,5.2,7.5,11.6
"W01000034 ","Wales ","Isle of Anglesey 004B ",13,20.5,14.3,84,104,350,5.2,4.6,7.7
"W01000035 ","Wales ","Isle of Anglesey 005E ",12,9.2,12.8,79,105,389,4.4,6.4,9.3
"W01000036 ","Wales ","Isle of Anglesey 003F ",26,43.3,33.8,81,98,318,11.6,7.7,11.5
"W01000037 ","Wales ","Isle of Anglesey 003G ",19,29.9,21.7,83,102,374,6.3,7.6,9.9
"W01000038 ","Wales ","Isle of Anglesey 009D ",15,20.7,17.3,87,97,341,3.8,6.1,11.9
